Neighborhood,Arrest_score,K12_score,Park_score,Total_score
East Liberty,81.10047846889952,50.762711864406775,100.0,77.66900494688184
Beechview,86.84210526315789,54.32203389830508,63.63636363636363,70.12436136566377
Squirrel Hill South,86.1244019138756,54.40677966101695,45.45454545454546,64.40815830021897
Carrick,76.07655502392345,93.47457627118644,18.181818181818176,63.92754034547076
Brookline,82.05741626794259,85.0,18.181818181818176,63.77751196172249
Homewood North,85.64593301435407,83.13559322033899,9.090909090909093,61.92632389911605
Swisshelm Park,100.0,54.40677966101695,18.181818181818176,61.77657935285053
Hazelwood,86.36363636363636,44.57627118644068,45.45454545454546,61.55469953775039
Sheraden,85.4066985645933,44.66101694915254,45.45454545454546,61.19734814694672
Point Breeze,98.32535885167464,16.694915254237287,54.54545454545454,60.7022544805774
Mount Washington,83.97129186602871,32.03389830508474,45.45454545454546,56.83504987430055
Larimer,88.99521531100478,50.762711864406775,18.181818181818176,56.281445138269405
Regent Square,99.76076555023923,54.40677966101695,0.0,56.22634011840077
Arlington,94.97607655502392,55.762711864406775,0.0,54.719244181331604
Brighton Heights,86.84210526315789,38.72881355932203,27.27272727272727,54.537304354877946
Westwood,95.45454545454545,35.67796610169491,18.181818181818176,54.33975346687211
South Side Slopes,90.19138755980862,5.762711864406778,54.54545454545454,54.16900494688184
East Hills,89.23444976076556,60.84745762711865,0.0,53.948017192441824
Beltzhoover,94.01913875598086,35.59322033898306,18.181818181818176,53.74016705863272
Troy Hill,94.49760765550239,13.813559322033896,36.36363636363637,52.85220176790203
Bon Air,97.36842105263158,46.186440677966104,0.0,52.80330062444246
Greenfield,94.49760765550239,30.67796610169492,18.181818181818176,52.45697834725489
Fineview,97.8468899521531,33.05084745762712,9.090909090909093,51.78128294542211
Garfield,91.14832535885168,32.03389830508474,18.181818181818176,51.52404508961155
Banksville,94.01913875598086,35.67796610169491,9.090909090909093,51.038318060173545
Duquesne Heights,96.41148325358851,32.03389830508474,9.090909090909093,50.90203552023356
Manchester,96.88995215311004,20.508474576271183,18.181818181818176,50.36306868867083
Oakwood,98.56459330143541,35.67796610169491,0.0,50.129227151082645
Marshall-Shadeland,83.97129186602871,27.71186440677966,27.27272727272727,50.08389425026356
Crafton Heights,92.10526315789474,33.389830508474574,9.090909090909093,49.586327142973
Allentown,89.95215311004785,35.59322033898306,9.090909090909093,49.386100072986785
Lincoln-Lemington-Belmar,85.4066985645933,31.440677966101692,18.181818181818176,49.04942827021328
Elliott,92.82296650717703,11.440677966101697,27.27272727272727,48.7432081745195
Lincoln Place,98.32535885167464,19.83050847457627,9.090909090909093,48.006568810315464
Perry South,87.5598086124402,33.05084745762712,9.090909090909093,47.66645040953694
Upper Lawrenceville,96.65071770334929,10.677966101694913,18.181818181818176,47.31822236639364
Perry North,95.45454545454545,20.932203389830505,9.090909090909093,47.188751926040055
Highland Park,93.30143540669856,23.13559322033898,9.090909090909093,46.98852485605385
Allegheny Center,95.2153110047847,20.508474576271183,9.090909090909093,46.96593950206796
Spring Garden,98.56459330143541,13.813559322033896,9.090909090909093,46.29717784445706
New Homestead,100.0,19.83050847457627,0.0,45.94915254237288
Hays,98.32535885167464,19.83050847457627,0.0,45.27929608304274
Bloomfield,87.5598086124402,15.423728813559324,18.181818181818176,45.10558754358933
West End,96.88995215311004,11.440677966101697,9.090909090909093,44.91545697834726
Lower Lawrenceville,95.69377990430623,2.203389830508473,18.181818181818176,44.39307436542048
Point Breeze North,95.2153110047847,1.6949152542372836,18.181818181818176,44.049144432730515
Stanton Heights,95.69377990430623,16.779661016949156,0.0,43.311410266807236
Squirrel Hill North,94.01913875598086,18.559322033898308,0.0,43.17545211256184
Polish Hill,99.04306220095694,2.203389830508473,9.090909090909093,43.005514556808045
Esplen,98.32535885167464,11.101694915254235,0.0,42.66065201524613
Windgap,96.88995215311004,11.101694915254235,0.0,42.08648933582029
Fairywood,96.41148325358851,11.101694915254235,0.0,41.89510177601168
West Oakland,97.8468899521531,7.6271186440677985,0.0,41.42689157408159
Morningside,97.8468899521531,4.74576271186441,0.0,40.56248479442057
South Side Flats,66.02870813397129,0.0,45.45454545454546,40.047846889952154
Strip District,88.27751196172248,2.203389830508473,9.090909090909093,38.69929446111426
Bluff,80.622009569378,7.6271186440677985,0.0,34.536939420971535
Outside County,100.0,,,
Ridgemont,99.76076555023923,35.67796610169491,,
Chartiers City,99.76076555023923,11.101694915254235,,
Arlington Heights,99.52153110047847,55.762711864406775,,
Summer Hill,99.2822966507177,56.271186440677965,,
Mount Oliver,99.2822966507177,,,
St. Clair,99.04306220095694,55.762711864406775,,
Allegheny West,99.04306220095694,20.508474576271183,,
South Shore,98.80382775119617,,,
Glen Hazel,98.56459330143541,44.57627118644068,,
Friendship,98.56459330143541,15.423728813559324,,
Outside State,98.32535885167464,,,
Homewood West,98.08612440191388,,0.0,
Upper Hill,97.36842105263158,,0.0,
South Oakland,96.88995215311004,,36.36363636363637,
Overbrook,96.41148325358851,13.135593220338981,,
Northview Heights,96.41148325358851,56.271186440677965,,
Terrace Village,96.41148325358851,,9.090909090909093,
Spring Hill-City View,96.17224880382776,,18.181818181818176,
Outside City,95.93301435406698,,,
California-Kirkbride,94.73684210526316,,,
North Shore,94.49760765550239,,18.181818181818176,
Chateau,93.77990430622009,20.508474576271183,,
Central Lawrenceville,93.77990430622009,,0.0,
Bedford Dwellings,93.54066985645933,,0.0,
Central Oakland,92.82296650717703,,27.27272727272727,
Middle Hill,91.86602870813397,,0.0,
North Oakland,89.95215311004785,,0.0,
Central North Side,89.71291866028709,,,
East Allegheny,87.5598086124402,13.813559322033896,,
Homewood South,87.5598086124402,,0.0,
Knoxville,86.60287081339713,46.186440677966104,,
Shadyside,83.97129186602871,7.711864406779656,,
Crawford-Roberts,83.2535885167464,,18.181818181818176,
Central Business District,0.0,,81.81818181818181,
